centre;var;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5
1;bmi;0,321968315758238;-0,542994286865279;-0,573465266921735;-0,272729670224492;0,445247482732769
1;age;-0,456036131805005;0,680043988561111;0,0398915239216397;0,0753972690550507;0,562953792149346
1;egfr;0,474420399467962;-0,367820512602988;0,34490103462294;0,675014160338949;0,254572280586093
1;sbp;0,690590096020487;0,550363494197104;-0,316150414931887;0,0980147084379803;-0,0309753798430061
1;dbp;0,858642522281512;0,338548610767432;-0,0555752076937097;-0,0547226982281842;-0,075388644778713
1;hr;0,428138888299036;-0,0264275709275468;0,71297218270187;-0,510925434114388;0,183866949235889
12;bmi;0,106363888364885;0,67332043684967;-0,425157212092339;0,235711969862268;0,544912828590332
12;age;-0,222971324942122;-0,0134655033694942;0,848968635908857;-0,0211562655121758;0,473541033137597
12;egfr;0,366604964704963;-0,578011259812161;-0,313328356414154;-0,517460792258205;0,406511136518702
12;sbp;0,710072349309641;0,429997802125306;0,325141773756722;-0,268038242444017;-0,132214642722749
12;dbp;0,893857275330877;0,140048174043727;0,0976923141344907;0,059751146089987;-0,0647958702296247
12;hr;0,497828775276276;-0,589018246403756;0,0626472384430217;0,596254728328375;0,101236103534223
13;bmi;-0,196321445882506;0,562719687528981;0,643164171772122;-0,133472812850644;0,461787059963399
13;age;-0,172928649440119;-0,835155810512043;0,0232881516996595;0,0990481640835656;0,497226400858984
13;egfr;0,218326908861467;0,408512587011028;-0,430830566088029;0,720185537639425;0,281118118056192
13;sbp;0,749060037018148;-0,249886088224612;0,406927456495889;0,253991537698574;0,00417863216555919
13;dbp;0,876261310401851;0,00540692264773599;0,19615966614606;-0,0901949894360138;-0,0553076560137026
13;hr;0,476727261616168;0,124398363784484;-0,529326152600599;-0,582160379616089;0,3368837262483
15;bmi;0,0272329505472562;0,266271261179257;0,873503166571058;-0,258728482171771;0,310201580172607
15;age;-0,0983077960548313;-0,798692623168589;-0,0680037939257075;0,285558222122814;0,50295204168417
15;egfr;0,365818906603521;0,460701404800327;-0,538103832415485;-0,436752898803209;0,412571437889409
